1.532500e+00 6.193750e-01 0.0  0 8.000000e-01
1.530499e+00 6.011891e-01 0.0  0 8.050000e-01
1.523128e+00 5.937437e-01 0.0  0 8.100000e-01
1.516195e+00 5.854234e-01 0.0  0 8.150000e-01
1.514112e+00 5.674000e-01 0.0  0 8.200000e-01
1.505645e+00 5.623242e-01 0.0  0 8.250000e-01
1.500153e+00 5.567219e-01 0.0  0 8.300000e-01
1.497462e+00 5.483195e-01 0.0  0 8.350000e-01
1.488425e+00 5.462625e-01 0.0  0 8.400000e-01
1.484376e+00 5.392180e-01 0.0  0 8.450000e-01
1.480547e+00 5.319531e-01 0.0  0 8.500000e-01
1.471470e+00 5.299367e-01 0.0  0 8.550000e-01
1.468637e+00 5.216750e-01 0.0  0 8.600000e-01
1.463368e+00 5.158508e-01 0.0  0 8.650000e-01
1.454778e+00 5.110687e-01 0.0  0 8.700000e-01
1.452148e+00 4.931641e-01 0.0  0 8.750000e-01
1.438725e+00 4.844000e-01 0.0  0 8.800000e-01
1.423577e+00 4.808680e-01 0.0  0 8.850000e-01
1.419619e+00 4.717531e-01 0.0  0 8.900000e-01
1.403564e+00 4.686867e-01 0.0  0 8.950000e-01
1.391250e+00 4.637500e-01 0.0  0 9.000000e-01
1.385545e+00 4.550008e-01 0.0  0 9.050000e-01
1.362500e+00 4.531250e-01 0.0  0 9.100000e-01
1.334766e+00 4.531250e-01 0.0  0 9.150000e-01
1.315031e+00 4.499250e-01 0.0  0 9.200000e-01
1.310586e+00 4.408008e-01 0.0  0 9.250000e-01
1.295056e+00 4.374719e-01 0.0  0 9.300000e-01
1.282077e+00 4.328680e-01 0.0  0 9.350000e-01
1.274050e+00 4.239875e-01 0.0  0 9.400000e-01
1.239253e+00 4.215930e-01 0.0  0 9.450000e-01
1.219062e+00 4.155469e-01 0.0  0 9.500000e-01
1.210029e+00 4.074383e-01 0.0  0 9.550000e-01
1.182712e+00 4.054500e-01 0.0  0 9.600000e-01
1.171843e+00 3.979758e-01 0.0  0 9.650000e-01
1.152623e+00 3.911531e-01 0.0  0 9.700000e-01
1.105078e+00 3.906250e-01 0.0  0 9.750000e-01
1.055156e+00 3.906250e-01 0.0  0 9.800000e-01
1.005234e+00 3.906250e-01 0.0  0 9.850000e-01
9.553125e-01 3.906250e-01 0.0  0 9.900000e-01
9.053906e-01 3.906250e-01 0.0  0 9.950000e-01
8.554688e-01 3.906250e-01 0.0  0 1.000000e+00


