Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
86.0	-2.816887313624536	3.0	3.0	3.0	0.4326349983563739	-1.3413679738292745	1.4239052111177946	-1.8365911252288767	3.0
87.0	-0.5971112306623869	-1.6638706199648416	2.944449472072233	2.416803381667769	-1.4748276273841323	-2.551491310525311	2.966192468981406	-2.61147968948713	0.35482242925936963
88.0	-2.8103214771868985	3.0	3.0	3.0	0.3105371775155762	-3.0	3.0	-2.4990405617216065	3.0
89.0	-2.8161283378599586	3.0	3.0	3.0	0.2650177260678802	-1.4373568721100025	3.0	-1.6331580743462348	3.0
90.0	-2.704449235542631	3.0	3.0	3.0	-1.7723327695813327	-3.0	3.0	1.3889881112944575	3.0
91.0	-2.788852788329675	3.0	3.0	3.0	3.0	-3.0	0.7551552766691209	-3.0	-0.6573715016831652
92.0	-2.7003611392786704	3.0	3.0	-0.09550391468257234	3.0	3.0	3.0	-3.0	-3.0
93.0	-2.7454472494745867	3.0	3.0	3.0	0.23649484683907157	-0.8951415189326271	3.0	1.195071440263278	3.0
94.0	-2.7951994744244426	3.0	1.04819642265914	3.0	-0.12367925051091667	-0.149527388396725	3.0	-0.050788861626571855	3.0
95.0	-2.766416615402102	3.0	1.3711368494862282	3.0	0.13812116053727547	1.7717140703027097	3.0	-0.9355805308049384	3.0
96.0	-2.8216086773059073	3.0	3.0	3.0	-0.776423057727313	-1.8763724416610756	3.0	-0.6300126769510853	3.0
97.0	-2.6419863951112874	2.9749134101361068	2.6899496369333233	0.707918507670783	-0.29042625049400983	1.9998311218858815	1.3037732162696194	1.6684851374623508	2.1848097046561996
98.0	-2.76645818789678	3.0	3.0	1.8741682569337241	-0.6560491119831009	0.5705191946950965	0.19453294365057258	0.47501272771246367	3.0
99.0	-1.5658975818802572	3.0	3.0	-0.11092868613823331	-2.3886066905040484	3.0	3.0	3.0	3.0
100.0	-2.707041981255915	3.0	3.0	1.3236349356776071	1.1452660401760963	1.3399078224564098	0.641221690874502	0.24366585797973475	3.0
101.0	-2.796720934183643	3.0	3.0	3.0	-0.4349982323498407	0.41587553910799196	1.26229322666135	-0.6843102841307034	2.5795684769226708
102.0	-2.7552694403772087	3.0	-3.0	3.0	3.0	3.0	3.0	-3.0	-3.0
103.0	-2.8125615562184265	3.0	3.0	3.0	0.8473227838303022	-1.5766638269022963	1.3634800496507982	-3.0	1.636369293724018
104.0	-2.772061470298647	3.0	3.0	1.5497679435301408	0.7645077045720771	3.0	3.0	-3.0	-1.3213289891014053
105.0	-2.7745390922747193	3.0	-3.0	3.0	3.0	-3.0	3.0	-3.0	-3.0
106.0	-2.776515180004309	3.0	-2.5086598914838736	3.0	3.0	-0.1477357291313109	3.0	-3.0	-3.0
107.0	-2.7689295639272467	3.0	-0.5173373146621927	3.0	3.0	-3.0	3.0	-3.0	-3.0
108.0	-2.7076201016359365	3.0	-1.9013131635761018	3.0	3.0	1.067048447833133	3.0	-0.04561229930477965	1.3702186041660311
109.0	-2.8109743947593113	3.0	0.38268619882512184	3.0	1.191515833667808	-1.4587221969845725	3.0	-3.0	0.5754608642757856
110.0	-2.8102991119391203	3.0	1.1553710002612536	3.0	0.7665043524651912	0.8253419662832004	3.0	-3.0	1.0426242665863334
111.0	-2.7831692568906483	3.0	1.7728619254184694	3.0	-0.28949650320895487	-2.8914653581840852	3.0	-0.5576942716880244	3.0
112.0	-2.798336305925685	3.0	-1.3724893205291986	3.0	3.0	-0.9292624163126142	3.0	-3.0	-0.23504905452942917
113.0	-2.8012963961142034	3.0	3.0	3.0	-0.6187792612302628	-2.352195620775307	1.810048843700751	-0.6348195779268091	3.0
114.0	-2.7897140363258606	3.0	3.0	3.0	3.0	-3.0	3.0	-3.0	-0.6074347504963232
115.0	-2.8147188486657546	3.0	3.0	3.0	-0.28141974076104964	-2.836629822662937	3.0	-1.085829310845912	1.9627404385259526
116.0	-2.753001178104017	3.0	3.0	1.8148051955217603	0.5425013840685615	3.0	3.0	-0.6395524066370922	-0.24513978012824356
117.0	-2.797374947789449	3.0	1.4062353078736494	3.0	0.3339049528730495	-0.15160451318412632	3.0	-0.8351971506113218	1.5786339925632757
118.0	-2.7357833356707304	3.0	3.0	1.3507523745117742	-0.027612902377444362	3.0	0.28167021181143903	-0.8407893094357141	1.4484034762653129
